timestamp,value,plant_line
2024-09-22T22:48:00Z,1,Cream Packing Line 1
2024-09-22T22:54:00Z,1,Cream Packing Line 1
2024-09-22T23:00:00Z,1,Cream Packing Line 1
2024-09-22T23:06:00Z,1,Cream Packing Line 1
2024-09-22T23:12:00Z,1,Cream Packing Line 1
2024-09-22T23:18:00Z,1,Cream Packing Line 1
2024-09-22T23:24:00Z,1,Cream Packing Line 1
2024-09-22T23:30:00Z,1,Cream Packing Line 1
2024-09-22T23:36:00Z,1,Cream Packing Line 1
2024-09-22T23:42:00Z,1,Cream Packing Line 1
2024-09-22T23:48:00Z,1,Cream Packing Line 1
2024-09-22T23:54:00Z,1,Cream Packing Line 1
2024-09-23T00:00:00Z,1,Cream Packing Line 1
2024-09-23T00:06:00Z,1,Cream Packing Line 1
2024-09-23T00:12:00Z,1,Cream Packing Line 1
2024-09-23T00:18:00Z,1,Cream Packing Line 1
2024-09-23T00:24:00Z,1,Cream Packing Line 1
2024-09-23T00:30:00Z,1,Cream Packing Line 1
2024-09-23T00:36:00Z,1,Cream Packing Line 1
2024-09-23T00:42:00Z,1,Cream Packing Line 1
2024-09-23T00:48:00Z,1,Cream Packing Line 1
2024-09-23T00:54:00Z,1,Cream Packing Line 1
2024-09-23T01:00:00Z,1,Cream Packing Line 1
2024-09-23T01:06:00Z,1,Cream Packing Line 1
2024-09-23T01:12:00Z,1,Cream Packing Line 1
2024-09-23T01:18:00Z,1,Cream Packing Line 1
2024-09-23T01:24:00Z,1,Cream Packing Line 1
2024-09-23T01:30:00Z,1,Cream Packing Line 1
2024-09-23T01:36:00Z,1,Cream Packing Line 1
2024-09-23T01:42:00Z,1,Cream Packing Line 1
2024-09-23T01:48:00Z,1,Cream Packing Line 1
2024-09-23T01:54:00Z,1,Cream Packing Line 1
2024-09-23T02:00:00Z,1,Cream Packing Line 1
2024-09-23T02:06:00Z,1,Cream Packing Line 1
2024-09-23T02:12:00Z,1,Cream Packing Line 1
2024-09-23T02:18:00Z,1,Cream Packing Line 1
2024-09-23T02:24:00Z,1,Cream Packing Line 1
